study_id,first_author_year,journal,priority,exposure,exp_id,mediator,med_id,outcome,out_id,n_X,n_M,n_shared,pi_shared,F_X,F_M,overlap_note
S139,Deng P_2023,J Clin Endocrinol Metab,A2,"Visceral adipose tissue(VAT,内脏脂肪)",ebi-a-GCST90016671,"Age at menarche(AAM,初潮年龄)",ieu-b-5136,"Pre-eclampsia(PE,先兆子痫)",finn-b-O15_PREECLAMPS,5,468,0,0.0,37.7,84.9,零重叠
S147,Li Z_2023,Front Oncol,A2,BMI,ebi-a-GCST90103751,C-reactive protein(CRP),ebi-a-GCST90029070,"胰腺癌(pancreatic cancer,PC)",ebi-a-GCST90018905,2,264,0,0.0,44.0,188.7,零重叠
S296,,,A2,"insulin resistance (HOMA-IR等, 胰岛素抵抗)",ebi-a-GCST005179,brain cortical structure (脑皮质结构),ebi-a-GCST90018800,cognition (认知),finn-b-R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI,0,1,0,nan,nan,47.3,零重叠
S247,Liu Z_2024,Skin Res Technol,A2,"Urticaria (荨麻疹, 7亚型)",ebi-a-GCST90018936,91 inflammatory cytokines (炎症细胞因子),ebi-a-GCST90038683,4 mental disorders (ADHD/BD/MDD/SCZ),ebi-a-GCST90016612,2,21,0,0.0,46.4,52.7,零重叠
S261,Chen Y_2024,Front Immunol,A2,731 immune cell phenotypes (免疫细胞),prot-c-4834_61_2,inflammatory proteins (炎症蛋白),ebi-a-GCST90038683,"BC (breast cancer, 乳腺癌)",ebi-a-GCST90018799,0,21,0,nan,nan,52.7,零重叠
S268,Xiang J_2024,Front Immunol,A2,"CeD (celiac disease, 乳糜泻)",ieu-a-276,inflammatory cytokines (9炎症细胞因子),ebi-a-GCST90038683,"osteoporosis (骨质疏松, 含BMD/骨折)",ebi-a-GCST90038656,12,21,0,0.0,54.8,52.7,零重叠
S275,Pan H_2024,J Headache Pain,A2,gut microbiota (肠道菌群),ebi-a-GCST90027752,731 immune cells + 91 inflammatory factors (免疫细胞+炎症因子),ebi-a-GCST90038683,neuropathic pain (神经病理性疼痛),ebi-a-GCST90018885,0,21,0,nan,nan,52.7,零重叠
S309,Li P_2025,Front Genet,A2,lipids (血脂),met-c-869,"91 inflammatory factors (炎症因子, 代表 FIt3L/PD-L1)",ebi-a-GCST90038683,"UC (ulcerative colitis, 溃疡性结肠炎)",ebi-a-GCST90038684,24,21,0,0.0,82.6,52.7,零重叠
S364,,,A2,"肠道菌群(gut microbiota, GM, 196个菌taxa)",ebi-a-GCST90027752,"循环炎症蛋白(inflammatory proteins, 91个IPs)",ebi-a-GCST90038683,"青光眼(glaucoma, GO)",ebi-a-GCST90038648,0,21,0,nan,nan,52.7,零重叠
S376,Shi W_2025,J Thorac Dis,A2,"BMI(身体质量指数, body mass index)",ebi-a-GCST90103751,"SAS(睡眠呼吸暂停综合征, sleep apnea syndrome)",ebi-a-GCST90018916,"慢性疼痛(chronic pain, 多表型)",ukb-e-MCP_AFR,2,1,0,0.0,44.0,63.5,零重叠
S030,Mendelian randomization highlights sleep disturbances mediated the effect of dep,Brain Behav,A2,MDD(major depressive disorder),ebi-a-GCST90086062,insomnia; self-reported short sleep duration,ukb-b-9155,chronic regional pain; fibromyalgia,ukb-e-MCP_AFR,1,0,0,nan,31.1,nan,零重叠
S014,Causal associations between type 1 diabetes mellitus and cardiovascular diseases,Cardiovasc Diabetol,A2,T1DM,ebi-a-GCST90018925,hypertension,ieu-b-5144,peripheral atherosclerosis(PAS)/coronary atherosclerosis(CAS),ukb-d-I9_CORATHER,18,209,1,0.0556,178.1,53.5,非零重叠
S260,Gao TY_2025,Obes Rev,A2,"VAT (visceral adipose tissue, 内脏脂肪组织)",ebi-a-GCST90016671,hypertension (高血压),ieu-b-5144,"CKD (chronic kidney disease, 慢性肾病)",ieu-a-1102,5,209,0,0.0,37.7,53.5,零重叠
S167,Huang Q_2023,PLoS One,A2,Alcoholic liver disease(ALD),finn-b-ALCOLIVER,Serum 25-OHD levels(维生素D),ebi-a-GCST010144,FN-BMD(股骨颈骨密度),ebi-a-GCST90014022,1,148,0,0.0,85.3,162.9,零重叠
S253,,,A2,"obesity-related traits (BMI/WC/WHR, 肥胖相关性状)",ebi-a-GCST90103751,2 lung function indicators + 13 inflammatory factors (肺功能指标+炎症因子),ebi-a-GCST90029027,LRTIs (5型: acute bronchitis/bronchiolitis/bronchiectasis/influenza/pneumonia),finn-b-J10_INFLUPNEU,2,352,0,0.0,44.0,56.0,零重叠
