study_id,pmid,first_author_year,journal,title,design_type,IV_selection_strategy,reports_overlap_risk
S168,37940997,Dai H_2023,Cardiovasc Diabetol,"Roles of gut microbiota in atrial fibrillation: insights from Mendelian randomization analysis and genetic data from over 430,000 cohort study participants.",两步法MR中介,分开选IV,是
S235,39156235,Chen H_2024,Sex Med,Association of serum uric acid with male sexual hormones and erectile dysfunction: a bidirectional 2-sample Mendelian randomization analysis.,两步法MR中介,MVMR联合估计,否
S351,40452205,,,Genetic analysis of the correlation between GLP1 action and metabolic liver disease: Insights from Mendelian randomization analysis.,两步法MR中介,MVMR联合估计,是
S236,39193563,,,Cardiometabolic traits mediating the effect of education on the risk of DKD and CKD: a Mendelian randomization study.,两步法MR中介,MVMR联合估计,是
S406,41036025,Chen C_2025,Health Sci Rep,Perturbation of Circulating Inflammatory Proteins Mediates the Relationship Between Cholecystectomy and Nonalcoholic Fatty Liver Disease: A Multivariate and Mediation Mendelian Randomization Study.,两步法MR中介,MVMR联合估计,否
S255,39351228,Zhuang X_2024,Front Immunol,"Causal pathways in lymphoid leukemia: the gut microbiota, immune cells, and serum metabolites.",两步法MR中介,分开选IV,否
S280,39578729,Lou J_2024,J Headache Pain,Plasma pQTL and brain eQTL integration identifies PNKP as a therapeutic target and reveals mechanistic insights into migraine pathophysiology.,两步法MR中介,分开选IV,否
S355,40487248,Wang C_2025,Am J Prev Cardiol,"Causal relationship between physical activity, sleep duration, sedentary behavior, and hypertension: A Mendelian randomisation study.",两步法MR中介,分开选IV,部分
S364,40576426,,,Inflammatory Proteins Mediate the Effect of Gut Microbiota on Graves' Ophthalmopathy: A Mendelian Randomization Study.,两步法MR中介,分开选IV,部分
S349,40428280,Xiao J_2025,Diagnostics (Basel),Immune Cells as Mediators of Lipidome Influence on Osteoporosis: Evidence from a Mediation Analysis.,两步法MR中介,分开选IV,部分
S318,40121389,Guo J_2025,Discov Oncol,"Gut microbiome, dietary habits, and prostate cancer: a two-step Mendelian randomization revealing the causal associations.",两步法MR中介,分开选IV,否
S352,40464192,Sun Y_2025,J Cell Mol Med,Novel High-Resolution Lipidomes Could Serve as New Biomarkers for Diabetic Retinopathy: A Bidirectional and Mediated Mendelian Randomization Study.,两步法MR中介,分开选IV,否
S348,40419887,Xiao F_2025,Medicine (Baltimore),Immunological mediators in the causal relationship between latent autoimmune diabetes in adults and breast cancer: A Mendelian randomization analysis.,两步法MR中介,分开选IV,是
S384,40779097,Tan S_2025,Discov Oncol,Multi-omics insights into Palmitoylation-mediated brain network remodeling and glioblastoma risk.,两步法MR中介,分开选IV,否
S234,39148834,,,The role of the gluteofemoral adipose tissue in cerebrovascular disease risk: evidence from a mendelian randomization and mediation analysis.,两步法MR中介,分开选IV,是
S390,40847468,Liu WH_2025,Brain Behav,Mendelian Randomization Analysis Reveal the Role of Circulating Inflammatory Proteins in Mediating Functional Brain Networks and Peripheral Neuropathic Pain Effects.,两步法MR中介,分开选IV,否
S334,40230199,Yao YX_2025,Ren Fail,"Glucagon-like peptide-1 receptor agonists, inflammation, and kidney diseases: evidence from Mendelian randomization.",两步法MR中介,分开选IV,否
S387,40822850,,,Immunocytes Mediate the Effects of Gut Microbiome on Inflammatory Bowel Disease: Insights From a Mendelian Randomization Study.,两步法MR中介,分开选IV,是
S354,40482012,Xiao S_2025,Int J Gynaecol Obstet,Lipid metabolism and inflammation as key drivers in preterm birth: A comprehensive analysis.,两步法MR中介,分开选IV,否
S321,40141382,Xiang L_2025,Int J Mol Sci,Impact of Glucagon-like Peptide-1 Receptor Agonists on Mental Illness: Evidence from a Mendelian Randomization Study.,两步法MR中介,分开选IV,否
S150,37082118,Du Y_2023,Front Endocrinol (Lausanne),Roles of sex hormones in mediating the causal effect of vitamin D on osteoporosis: A two-step Mendelian randomization study.,两步法MR中介,分开选IV,否
S005,36225867,Causal relationship between tea intake and cardiovascular diseases: A Mendelian ,Front Nutr,,两步法MR中介,分开选IV,是
