study_id,first_author_year,journal,pub_year,design_type,exclude_reason,exposure,mediator,outcome,step1_IV_source,step2_IV_source,n_IV_step1,n_IV_step2,n_IV_shared,pi_shared_pct,IV_selection_strategy,M_GWAS_Y_GWAS_overlap,overlap_pct_reported,X_GWAS_M_GWAS_overlap,indirect_effect_method,variance_method,reports_overlap_risk,alpha_hat,beta_hat,se_alpha_hat,se_beta_hat,indirect_effect_CI_lower,indirect_effect_CI_upper,significant_as_reported,risk_flag_for_reanalysis,data_availability,coder_initials,coding_date,notes
S168,Dai H_2023,Cardiovasc Diabetol,2023,两步法MR中介,,肠道菌群,多个候选中介,未在摘录文本明确,,,,,unclear,,MVMR联合估计,,,,其他,未说明,是,,,,,,,,低风险,summary stats公开可获取,"Claude(AI全文核实,重叠处理方式已分类)",2026-07-02,"PMID:37940997 | Roles of gut microbiota in atrial fibrillation: insights from Mendelian randomization analysis and genetic data from over 430,000 cohort study partici | [全文关键句核实通过-设计确认] | [重叠处理方式=A-专用工具量化(shinyapps)] | 肠道菌群→中介→结局(mediation MR)。用shinyapps在线工具评估重叠导致的偏倚和Type1错误率。 | [indirect_effect_method: 未见'product method'/'difference method'明确措辞,标为其他,需人工复核具体公式]"
S235,Chen H_2024,Sex Med,2024,两步法MR中介,,,,,,,,,unclear,,MVMR联合估计,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:39156235 | Association of serum uric acid with male sexual hormones and erectile dysfunction: a bidirectional 2-sample Mendelian randomization analysis. | [全文关键句核实通过-设计确认]
S351,,,,两步法MR中介,,,,,,,,,unclear,,MVMR联合估计,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,"PMID:40452205 | [标题缺失-语料库未匹配到,需自行核实] | [全文关键句核实通过-设计确认]"
S236,,,,两步法MR中介,,Education (受教育年限),"26 candidate mediators (BMI/DBP/SBP/HDL-C/LDL-C/T2D/CKD/DKD等, 见正文Table 1/S5)","DKD (diabetic kidney disease, 糖尿病肾病), CKD (chronic kidney disease, 慢性肾病)",,,414,BMI=819 (代表中介),Education∩BMI=2 (代表中介),0.5,MVMR联合估计,明确独立,,明确独立,,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实+真实SNP重叠已用JSON核实),2026-09-03,"PMID:39193563 | Education→26候选中介→DKD/CKD。两步法MR(UVMR总效应+MVMR直接效应, MVMR校正education与mediator)。真实SNP重叠极低(用PMC11347428 JSON): Education(414)∩BMI=2(0.5%), ∩DBP=1(0.2%), ∩SBP=1(0.2%) → 暴露与中介IV基本独立。中介比例: BMI最大32.5%, DBP最小5.6%(原文正文)。多中介组合数大(26×2结局),按规则仅填代表通路+flag,未全展开; 其余中介重叠如需可逐一计算。"
S406,Chen C_2025,Health Sci Rep,2025,两步法MR中介,,,,,,,,,unclear,,MVMR联合估计,,,,,,,,,,,,,,,,"Claude(AI全文核实,已确认设计)",2026-07-02,PMID:41036025 | Perturbation of Circulating Inflammatory Proteins Mediates the Relationship Between Cholecystectomy and Nonalcoholic Fatty Liver Disease: A Multivaria | [全文关键句核实通过-设计确认]
S255,Zhuang X_2024,Front Immunol,2024,两步法MR中介,,"免疫细胞(immune cells, 多性状)","血清代谢物(serum metabolites, 多性状)","淋巴样白血病(ALL/CLL, lymphoid leukemia)",,,,,无法判断,,分开选IV,无法判断,,无法判断,Product method,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-batch11),2026-09-03,"PMID:39351228. 两步法MR：step1 免疫细胞→血清代谢物, step2 血清代谢物→淋巴样白血病(ALL/CLL). 多暴露(免疫细胞)×多中介(血清代谢物)组合，正文未逐一给出各组合中介比例数字，记录定性设计；如需求精确数字需读PDF原文Supplementary表. 非A类(无SNP JSON)，真实IV重叠无法计算. 显著性须按原文逐路径核实."
S280,Lou J_2024,J Headache Pain,2024,两步法MR中介,,"gene expression (brain tissue eQTL, 脑组织基因表达)","protein levels (pQTL, 血浆蛋白水平)",migraine (偏头痛),,,,,无法判断,,分开选IV,无法判断,,无法判断,,Delta法(独立假设),,,,,,,,是,,,"WorkBuddy(AI全文核实-设计已确认,SMR两步法,A类JSON待核)",2026-09-03,"PMID:39578729 | 基因表达(eQTL)→蛋白(pQTL)→偏头痛。SMR+两步法MR(基因调控两层)。A类JSON可用, 真实重叠待核质量。"
S355,Wang C_2025,Am J Prev Cardiol,2025,两步法MR中介,,生活方式因素 (lifestyle: 久坐/步行/睡眠/MVPA),"BMI、腰臀比 (BMI, WHR)",高血压 (hypertension),,,,,无法判断,,分开选IV,无法判断,,无法判断,"两步MR (beta1×beta2=间接, beta0=总)",Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk6),2026-09-03,PMID 40487248。生活方式→BMI/WHR→高血压，两步MR。JSON 16组(大数据表876/290/239 + 单SNP生活方式/BMI/WHR)，难以按暴露/中介角色拆分，真实重叠无法判断。
S364,,,,两步法MR中介,,"肠道菌群(gut microbiota, GM, 196个菌taxa)","循环炎症蛋白(inflammatory proteins, 91个IPs)","青光眼(glaucoma, GO)",,,,,无法判断,,分开选IV,无法判断,,无法判断,Product method,Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-batch11),2026-09-03,"PMID:40576426. 两步法MR：GM→循环炎症蛋白→青光眼. 2124 SNPs/196 taxa (暴露), 7355 SNPs/91 IPs (中介). 多组合，未逐一给中介比例数字，记录定性设计；精确数字需读PDF原文. A类但多暴露×多中介，真实IV重叠无单一值可计，标记无法判断. 显著性须按原文逐路径核实."
S349,Xiao J_2025,Diagnostics (Basel),2025,两步法MR中介,,"脂质组 (lipidome, 179脂质物种)","免疫细胞 (immune cells, 731免疫表型)",骨质疏松 (osteoporosis),,,,,无法判断,,分开选IV,无法判断,,无法判断,两步MR (脂质→免疫细胞→骨质疏松),Delta法(独立假设),,,,,,,,是,,,WorkBuddy(AI全文核实-chunk6),2026-09-03,PMID 40428280。脂质组→免疫细胞→骨质疏松，两步MR。JSON为空(n_groups=0)，无可用SNP数据，真实重叠无法判断。
